"State","Reading2019","Reading2009","Math2019","Math2009"
"AL",253.398604872946,254.89524659554,268.703898571044,268.524120315168
"AK",252.385089216065,259.449426538116,274.337800740009,283.047662800849
"AZ",259.480352131611,257.595275452299,279.932021743214,277.332281962623
"AR",258.78275377192,258.048580163614,274.36319198523,275.999499994013
"CA",258.829734032213,252.631380782334,275.608909198641,270.448588146426
"CO",267.307705573783,265.51311994428,284.665952434847,287.372907515934
"CT",269.719107358588,271.810133169712,286.15885457416,288.608513451696
"DE",259.679402371344,264.998966063101,276.702658183838,283.829472979958
"FL",263.352557734343,264.362040854787,278.523344698988,279.33526411278
"GA",262.386099206627,260.244524519648,279.494668007891,277.561199732371
"HI",258.159133626579,254.738979931593,275.333259928456,273.758606683625
"ID",266.48281590721,264.837184984886,285.94211965174,287.305215052426
"IL",264.695664812992,264.514002261585,282.563770056396,282.431416992088
"IN",265.954997612053,265.69124060951,285.649347493642,286.809977886735
"IA",262.329032641702,264.888126041644,281.669713374579,284.170178554705
"KS",262.819050847892,266.799519310717,282.211700315563,288.596403041255
"KY",262.9635373774,266.854019810768,278.100386552262,279.284216093787
"LA",257.421808574891,253.329004007468,271.644680137411,272.379906697646
"ME",265.168656113462,267.706499608477,282.36862288029,286.361425938805
"MD",264.389022442559,267.298056489004,280.14582776331,288.341565298202
"MA",273.113031464996,273.589289718711,294.474574539442,298.854346618482
"MI",262.579893670719,261.898150017122,280.282357130411,278.268168151681
"MN",263.813360590386,269.739820132507,290.785141202164,294.443320106986
"MS",256.380475226081,251.305654614612,273.728901931209,265.001958154729
"MO",263.292024270598,266.876460156868,280.764001089291,285.808001946777
"MT",264.831687514546,270.393925995333,283.959458490694,291.542942879491
"NE",263.989105578988,267.067856574245,285.012542020259,284.259093531038
"NV",258.075061709817,253.84095441963,273.785362545259,274.148541684888
"NH",267.950506818944,270.748158823326,287.222902107093,292.321817220053
"NJ",270.357938474977,272.80263385761,291.822771925628,292.657227109585
"NM",251.699591686589,254.129173669956,268.765610592655,269.704253797704
"NY",261.75214468338,264.288057457975,280.409057321774,282.576915418605
"NC",262.530279226334,259.528486560755,283.658856062479,284.332635252336
"ND",263.232797461833,269.239984852546,285.564288588419,292.842488544915
"OH",267.049051157634,268.67823553327,285.713236558856,285.583013784517
"OK",258.197131397005,259.495771007061,276.466247861619,275.711956830545
"OR",263.721671156725,265.08924671644,279.50040459144,285.036814371216
"PA",264.180562730245,270.700536709088,285.023991890132,288.304168923925
"RI",262.146157582051,259.885589729898,275.672073085529,277.92371937219
"SC",258.976515885229,257.274184592561,276.350019464145,280.380855413571
"SD",262.770856466814,270.06099022928,287.087942904959,290.619127707892
"TN",262.462713482116,260.946676191649,280.079035689218,274.761821088186
"TX",255.742396588221,260.368795018986,279.651107847019,286.685076683873
"UT",267.417962093047,265.591577109328,284.930389419443,284.068251870422
"VT",268.481107043375,272.305134189083,286.603416708406,292.866096352356
"VA",261.798121159611,265.641981716133,287.060200768469,286.069754986907
"WA",266.277038164971,266.917617143622,285.807107019211,288.722375608773
"WV",255.624126301159,254.799747493408,272.349307597102,270.415765915327
"WI",267.383822656073,265.812615742952,288.660002957986,288.140726236317
"WY",264.641626105741,268.159428117446,286.313953952443,286.10403398533
